week ,start,end
1,9/10/15,9/16/15
2,9/17/15,9/23/15
3,9/24/15,9/30/15
4,10/1/15,10/7/15
5,10/8/15,10/14/15
6,10/15/15,10/21/15
7,10/22/15,10/28/15
8,10/29/15,11/4/15
9,11/5/15,11/11/15
10,11/12/15,11/18/15
11,11/19/15,11/25/15
12,11/26/15,12/2/15
13,12/3/15,12/9/15
14,12/10/15,12/16/15
15,12/17/15,12/23/15
16,12/24/15,12/30/15
17,12/31/15,1/6/16
